USERNAME, TIMESTAMP, ACTION, RESOURCE
hqcooney, 04/07/2015 11:30:48PM, view, telemedicine report note
pdferrari, 06/05/2016 12:01:27PM, view, telemedicine report note
gphsu, 10/04/2017 03:30:43PM, view, telemedicine report note
pdferrari, 02/01/2016 12:39:57PM, view, telemedicine report note
hflovell, 02/04/2015 11:23:20PM, view, telemedicine report note
hflovell, 01/08/2017 08:57:43AM, view, telemedicine report note
akbonilla, 04/08/2016 10:22:19PM, view, telemedicine report note
pdferrari, 01/26/2017 01:16:04PM, view, telemedicine report note
hqcooney, 04/16/2015 01:32:22AM, view, telemedicine report note
akbonilla, 02/26/2015 10:24:45AM, view, telemedicine report note
akbonilla, 03/09/2016 07:57:55AM, view, telemedicine report note
hflovell, 11/09/2017 11:40:00AM, view, telemedicine report note
tbbeard, 12/19/2017 11:11:42AM, view, telemedicine report note
akbonilla, 04/27/2017 08:29:33PM, view, telemedicine report note
akbonilla, 02/06/2015 10:26:39PM, view, telemedicine report note
hflovell, 11/21/2015 08:07:58PM, view, telemedicine report note
ttschubert, 10/13/2017 10:34:40PM, view, telemedicine report note
hflovell, 11/05/2017 09:21:38PM, view, telemedicine report note
hflovell, 02/01/2015 11:42:44AM, view, telemedicine report note
hflovell, 07/23/2016 05:32:09AM, view, telemedicine report note
pdferrari, 11/05/2017 05:49:32AM, view, telemedicine report note
hqcooney, 02/08/2015 07:47:29PM, view, telemedicine report note
pdferrari, 10/07/2017 07:56:56AM, view, telemedicine report note
hqcooney, 03/11/2017 06:24:06PM, view, telemedicine report note
gphsu, 01/14/2015 04:06:20PM, view, telemedicine report note
pdferrari, 10/23/2016 07:05:06AM, view, telemedicine report note
tbbeard, 08/01/2015 11:33:06PM, view, telemedicine report note
akbonilla, 08/17/2015 03:44:11AM, view, telemedicine report note
gphsu, 04/23/2017 03:46:26PM, view, telemedicine report note
pdferrari, 02/27/2016 10:53:03PM, view, telemedicine report note
pdferrari, 03/03/2017 01:15:22PM, view, telemedicine report note
gphsu, 08/18/2017 06:23:02AM, view, telemedicine report note
gphsu, 11/21/2015 05:05:19PM, view, telemedicine report note
ttschubert, 03/09/2016 12:53:33AM, view, telemedicine report note
akbonilla, 03/11/2015 07:30:43PM, view, telemedicine report note
tbbeard, 05/05/2017 04:52:20PM, view, telemedicine report note
hflovell, 08/13/2017 03:38:26AM, view, telemedicine report note
akbonilla, 12/20/2016 07:09:36AM, view, telemedicine report note
pdferrari, 09/27/2015 05:18:56PM, view, telemedicine report note
pdferrari, 08/08/2015 10:58:24PM, view, telemedicine report note
akbonilla, 07/25/2015 07:00:06PM, view, system alert CA04252
hqcooney, 01/25/2017 07:17:20PM, view, system alert CA04131
tbbeard, 06/25/2015 08:49:34PM, view, system alert CA04131
hqcooney, 10/02/2015 12:24:20AM, view, system alert CA04131
gphsu, 07/07/2015 12:25:54AM, view, system alert CA04131
pdferrari, 04/13/2016 02:38:24AM, view, system alert CA04131
tbbeard, 08/14/2016 01:55:53PM, view, system alert CA04131
pdferrari, 01/13/2015 06:11:01PM, view, system alert CA04131
hflovell, 07/20/2016 09:55:44PM, view, system alert CA04131
ttschubert, 08/10/2016 10:43:38AM, view, system alert CA04131
gphsu, 08/16/2017 06:34:50AM, view, system alert CA04131
akbonilla, 10/22/2015 04:38:51AM, view, system alert CA04131
gphsu, 01/13/2016 07:42:54AM, view, system alert CA04131
akbonilla, 01/15/2015 10:39:40AM, view, system alert CA04131
gphsu, 10/02/2017 06:04:55PM, view, system alert CA04131
hflovell, 09/04/2016 01:27:46PM, view, system alert CA04131
hqcooney, 05/24/2017 07:57:47AM, view, system alert CA04131
tbbeard, 06/13/2015 09:55:28AM, view, system alert CA04131
pdferrari, 09/05/2016 10:57:44PM, view, system alert CA04131
akbonilla, 04/20/2015 09:06:29AM, view, system alert CA04131
pdferrari, 08/07/2017 09:59:55AM, view, system alert CA04131
akbonilla, 03/23/2016 06:31:59PM, view, system alert CA04131
hqcooney, 08/13/2017 02:10:32PM, view, system alert CA04131
hqcooney, 03/08/2016 03:29:30PM, view, system alert CA04028
ttschubert, 09/24/2016 07:50:05PM, view, system alert CA04028
pdferrari, 12/21/2017 08:39:17AM, view, system alert CA04028
pdferrari, 11/05/2015 01:44:31AM, view, system alert CA04028
tbbeard, 06/11/2016 02:54:43AM, view, system alert CA04028
hqcooney, 05/17/2016 11:35:46AM, view, system alert CA04028
tbbeard, 12/20/2015 09:22:22PM, view, system alert CA04028
ttschubert, 04/14/2017 10:54:11PM, view, system alert CA04028
pdferrari, 06/01/2017 03:36:45PM, view, system alert CA04028
ttschubert, 05/02/2016 01:56:35AM, view, system alert CA04028
gphsu, 12/26/2016 11:13:40AM, view, system alert CA04028
pdferrari, 07/03/2015 01:23:03PM, view, system alert CA04028
ttschubert, 04/04/2017 03:33:55AM, view, system alert CA04028
akbonilla, 09/07/2016 11:51:00AM, view, system alert CA04028
ttschubert, 03/04/2017 10:05:10AM, view, system alert CA04028
ttschubert, 02/15/2017 02:39:55AM, view, system alert CA04028
hflovell, 03/19/2016 01:33:43AM, view, system alert CA04028
ttschubert, 02/26/2016 03:00:55AM, view, system alert CA04028
akbonilla, 12/14/2017 08:17:23PM, view, system alert CA04028
hqcooney, 08/08/2017 01:40:48AM, view, system alert CA04028
tbbeard, 05/02/2017 02:54:46PM, view, system alert CA03754
pdferrari, 11/22/2016 08:26:35AM, view, system alert CA03754
tbbeard, 10/27/2015 02:01:05AM, view, system alert CA03754
hqcooney, 05/01/2015 04:40:14PM, view, system alert CA03754
hflovell, 01/16/2015 10:45:23AM, view, system alert CA03754
pdferrari, 04/26/2016 07:40:17AM, view, system alert CA03754
tbbeard, 09/04/2017 08:34:27AM, view, system alert CA03754
pdferrari, 04/22/2016 09:01:41AM, view, system alert CA03754
hqcooney, 02/08/2015 09:20:35PM, view, system alert CA03754
akbonilla, 11/22/2016 11:15:02PM, view, system alert CA03754
akbonilla, 02/14/2015 05:12:32AM, view, system alert CA03754
hqcooney, 11/26/2015 10:06:07PM, view, system alert CA03754
ttschubert, 07/07/2017 04:05:24AM, view, system alert CA03754
